,Study,Site,percent_cover,individual_per_sq_m,Longitude,Latitude,year
44,Normandeau,Seabrook Station B19,NA,2.24,-70.808254,42.892011,1978
78,Normandeau,Seabrook Station B31,NA,5.52,-70.808254,42.892011,1978
12,witman_gom,Star Island,NA,21.87,-70.616525,42.975744,1979
45,Normandeau,Seabrook Station B19,NA,6.16,-70.808254,42.892011,1979
79,Normandeau,Seabrook Station B31,NA,12.36,-70.808254,42.892011,1979
46,Normandeau,Seabrook Station B19,NA,11.25,-70.808254,42.892011,1980
80,Normandeau,Seabrook Station B31,NA,17.01,-70.808254,42.892011,1980
47,Normandeau,Seabrook Station B19,NA,13.45,-70.808254,42.892011,1981
81,Normandeau,Seabrook Station B31,NA,14.65,-70.808254,42.892011,1981
48,Normandeau,Seabrook Station B19,NA,10.62,-70.808254,42.892011,1982
82,Normandeau,Seabrook Station B31,NA,13.23,-70.808254,42.892011,1982
7,witman_gom,Murray Rock,NA,30.74,-70.608241,43.071741,1983
49,Normandeau,Seabrook Station B19,NA,19.5,-70.808254,42.892011,1983
83,Normandeau,Seabrook Station B31,NA,12.18,-70.808254,42.892011,1983
50,Normandeau,Seabrook Station B19,NA,14.64,-70.808254,42.892011,1984
84,Normandeau,Seabrook Station B31,NA,8.79,-70.808254,42.892011,1984
17,Normandeau,Seabrook Station B17,10,2.8,-70.808254,42.892011,1985
51,Normandeau,Seabrook Station B19,7,15.69,-70.808254,42.892011,1985
85,Normandeau,Seabrook Station B31,52,10.17,-70.808254,42.892011,1985
112,Normandeau,Seabrook Station B35,11,2.34,-70.808254,42.892011,1985
18,Normandeau,Seabrook Station B17,9,2.03,-70.808254,42.892011,1986
52,Normandeau,Seabrook Station B19,10,8.84,-70.808254,42.892011,1986
86,Normandeau,Seabrook Station B31,45,6.94,-70.808254,42.892011,1986
113,Normandeau,Seabrook Station B35,16,3.98,-70.808254,42.892011,1986
19,Normandeau,Seabrook Station B17,12,2.9,-70.808254,42.892011,1987
53,Normandeau,Seabrook Station B19,11,12.22,-70.808254,42.892011,1987
87,Normandeau,Seabrook Station B31,29,7.13,-70.808254,42.892011,1987
114,Normandeau,Seabrook Station B35,15,4.96,-70.808254,42.892011,1987
20,Normandeau,Seabrook Station B17,11,3.84,-70.808254,42.892011,1988
54,Normandeau,Seabrook Station B19,24,14.2,-70.808254,42.892011,1988
88,Normandeau,Seabrook Station B31,39,9.17,-70.808254,42.892011,1988
115,Normandeau,Seabrook Station B35,9,3.14,-70.808254,42.892011,1988
21,Normandeau,Seabrook Station B17,15,2.48,-70.808254,42.892011,1989
55,Normandeau,Seabrook Station B19,15,13.41,-70.808254,42.892011,1989
89,Normandeau,Seabrook Station B31,32,6.99,-70.808254,42.892011,1989
116,Normandeau,Seabrook Station B35,12,1.89,-70.808254,42.892011,1989
22,Normandeau,Seabrook Station B17,9,1.51,-70.808254,42.892011,1990
56,Normandeau,Seabrook Station B19,20,11.31,-70.808254,42.892011,1990
90,Normandeau,Seabrook Station B31,30,7.68,-70.808254,42.892011,1990
117,Normandeau,Seabrook Station B35,13,1.96,-70.808254,42.892011,1990
23,Normandeau,Seabrook Station B17,4,1.05,-70.808254,42.892011,1991
57,Normandeau,Seabrook Station B19,2,7.34,-70.808254,42.892011,1991
91,Normandeau,Seabrook Station B31,26,5.63,-70.808254,42.892011,1991
118,Normandeau,Seabrook Station B35,12,2.06,-70.808254,42.892011,1991
24,Normandeau,Seabrook Station B17,6,4.05,-70.808254,42.892011,1992
58,Normandeau,Seabrook Station B19,2,7.28,-70.808254,42.892011,1992
92,Normandeau,Seabrook Station B31,33,7.89,-70.808254,42.892011,1992
119,Normandeau,Seabrook Station B35,25,2.73,-70.808254,42.892011,1992
25,Normandeau,Seabrook Station B17,3,5.13,-70.808254,42.892011,1993
59,Normandeau,Seabrook Station B19,2,5.63,-70.808254,42.892011,1993
93,Normandeau,Seabrook Station B31,26,6.47,-70.808254,42.892011,1993
120,Normandeau,Seabrook Station B35,18,3.77,-70.808254,42.892011,1993
26,Normandeau,Seabrook Station B17,9,3.35,-70.808254,42.892011,1994
60,Normandeau,Seabrook Station B19,1,8.72,-70.808254,42.892011,1994
94,Normandeau,Seabrook Station B31,12,11.15,-70.808254,42.892011,1994
121,Normandeau,Seabrook Station B35,18,4.5,-70.808254,42.892011,1994
8,witman_gom,Murray Rock,NA,0.333333,-70.608241,43.071741,1995
27,Normandeau,Seabrook Station B17,3,1.61,-70.808254,42.892011,1995
61,Normandeau,Seabrook Station B19,1,10.04,-70.808254,42.892011,1995
95,Normandeau,Seabrook Station B31,3,9.48,-70.808254,42.892011,1995
122,Normandeau,Seabrook Station B35,6,3.04,-70.808254,42.892011,1995
1,witman_gom,Boon Island,NA,2.5,-70.47571,43.121676,1996
4,witman_gom,Kennebunk Ledge,NA,1.638889,-70.223764,43.653528,1996
9,witman_gom,Murray Rock,NA,0.5625,-70.608241,43.071741,1996
13,witman_gom,Star Island,NA,0,-70.616525,42.975744,1996
28,Normandeau,Seabrook Station B17,3,2.55,-70.808254,42.892011,1996
62,Normandeau,Seabrook Station B19,1,8.15,-70.808254,42.892011,1996
96,Normandeau,Seabrook Station B31,7,11.25,-70.808254,42.892011,1996
123,Normandeau,Seabrook Station B35,12,3.21,-70.808254,42.892011,1996
139,steneck_gom,Jonesport - browney,34.13462,NA,-67.624035,44.463898,1996
146,steneck_gom,Jonesport - outer ram,0,NA,-67.636667,44.4916667,1996
152,steneck_gom,Jonesport - outer sand,2.936508,NA,-67.678333,44.4616667,1996
161,steneck_gom,Jonesport - sea duck,55.13636,NA,-67.65292,44.491517,1996
209,steneck_gom,York - york a,41.63889,NA,-70.736,43.112,1996
217,steneck_gom,York - york b,10.65,NA,-70.63,43.118,1996
225,steneck_gom,York - york c,23.76744,NA,-70.621,43.134,1996
233,steneck_gom,York - york d,22.45946,NA,-70.618,43.141,1996
2,witman_gom,Boon Island,NA,0.666667,-70.47571,43.121676,1997
5,witman_gom,Kennebunk Ledge,NA,5.944444,-70.223764,43.653528,1997
10,witman_gom,Murray Rock,NA,0.5,-70.608241,43.071741,1997
14,witman_gom,Star Island,NA,0.416667,-70.616525,42.975744,1997
29,Normandeau,Seabrook Station B17,1,2.62,-70.808254,42.892011,1997
63,Normandeau,Seabrook Station B19,2,16.1,-70.808254,42.892011,1997
97,Normandeau,Seabrook Station B31,29,12.04,-70.808254,42.892011,1997
124,Normandeau,Seabrook Station B35,14,4.36,-70.808254,42.892011,1997
140,steneck_gom,Jonesport - browney,27.73529,NA,-67.624035,44.463898,1997
153,steneck_gom,Jonesport - outer sand,3.783784,NA,-67.678333,44.4616667,1997
154,steneck_gom,Jonesport - ram,0,NA,-67.635,44.4916667,1997
162,steneck_gom,Jonesport - sea duck,60.34211,NA,-67.65292,44.491517,1997
169,steneck_gom,Mount Desert Island - baker island,0,NA,-68.206667,44.2383333,1997
174,steneck_gom,Mount Desert Island - great duck,0,NA,-68.251667,44.1466667,1997
179,steneck_gom,Mount Desert Island - little duck,0,NA,-68.248333,44.1733333,1997
183,steneck_gom,Mount Desert Island - long island,0,NA,-68.343333,44.1033333,1997
210,steneck_gom,York - york a,57.10714,NA,-70.736,43.112,1997
218,steneck_gom,York - york b,14.73913,NA,-70.63,43.118,1997
226,steneck_gom,York - york c,44.1875,NA,-70.621,43.134,1997
234,steneck_gom,York - york d,19.47368,NA,-70.618,43.141,1997
3,witman_gom,Boon Island,NA,4.212121,-70.47571,43.121676,1998
6,witman_gom,Kennebunk Ledge,NA,2.428571,-70.223764,43.653528,1998
11,witman_gom,Murray Rock,NA,0.178571,-70.608241,43.071741,1998
15,witman_gom,Star Island,NA,0.1,-70.616525,42.975744,1998
30,Normandeau,Seabrook Station B17,1,1.79,-70.808254,42.892011,1998
64,Normandeau,Seabrook Station B19,2,16.24,-70.808254,42.892011,1998
98,Normandeau,Seabrook Station B31,31,9.28,-70.808254,42.892011,1998
125,Normandeau,Seabrook Station B35,7,4.96,-70.808254,42.892011,1998
155,steneck_gom,Jonesport - ram,0,NA,-67.635,44.4916667,1998
163,steneck_gom,Jonesport - sea duck,24.6,NA,-67.65292,44.491517,1998
170,steneck_gom,Mount Desert Island - baker island,0,NA,-68.206667,44.2383333,1998
175,steneck_gom,Mount Desert Island - great duck,0,NA,-68.251667,44.1466667,1998
180,steneck_gom,Mount Desert Island - little duck,0,NA,-68.248333,44.1733333,1998
184,steneck_gom,Mount Desert Island - long island,0,NA,-68.343333,44.1033333,1998
187,steneck_gom,Pemaquid - damariscove,5.85875,NA,-69.6022,43.76666,1998
192,steneck_gom,Pemaquid - fisherman's,28.66332,NA,-69.60166,43.7933,1998
197,steneck_gom,Pemaquid - kresge,3.466667,NA,-69.5166,43.83361,1998
203,steneck_gom,Pemaquid - thrumcap,3.622691,NA,-69.5516,43.8166,1998
211,steneck_gom,York - york a,45.25926,NA,-70.736,43.112,1998
219,steneck_gom,York - york b,14.26087,NA,-70.63,43.118,1998
227,steneck_gom,York - york c,28.21739,NA,-70.621,43.134,1998
235,steneck_gom,York - york d,5.95,NA,-70.618,43.141,1998
31,Normandeau,Seabrook Station B17,1,1.05,-70.808254,42.892011,1999
65,Normandeau,Seabrook Station B19,2,16.18,-70.808254,42.892011,1999
99,Normandeau,Seabrook Station B31,29,9.42,-70.808254,42.892011,1999
126,Normandeau,Seabrook Station B35,18,4.64,-70.808254,42.892011,1999
141,steneck_gom,Jonesport - little drisco,28.5,NA,-67.663333,44.4833333,1999
147,steneck_gom,Jonesport - outer ram,0,NA,-67.636667,44.4916667,1999
156,steneck_gom,Jonesport - ram,2.096774,NA,-67.635,44.4916667,1999
164,steneck_gom,Jonesport - sea duck,37.0625,NA,-67.65292,44.491517,1999
171,steneck_gom,Mount Desert Island - baker island,0,NA,-68.206667,44.2383333,1999
176,steneck_gom,Mount Desert Island - great duck,1.027778,NA,-68.251667,44.1466667,1999
181,steneck_gom,Mount Desert Island - little duck,1.586207,NA,-68.248333,44.1733333,1999
185,steneck_gom,Mount Desert Island - long island,0,NA,-68.343333,44.1033333,1999
188,steneck_gom,Pemaquid - damariscove,22.06667,NA,-69.6022,43.76666,1999
193,steneck_gom,Pemaquid - fisherman's,18.96774,NA,-69.60166,43.7933,1999
198,steneck_gom,Pemaquid - kresge,0,NA,-69.5166,43.83361,1999
204,steneck_gom,Pemaquid - thrumcap,0,NA,-69.5516,43.8166,1999
212,steneck_gom,York - york a,38.83333,NA,-70.736,43.112,1999
220,steneck_gom,York - york b,16.56667,NA,-70.63,43.118,1999
228,steneck_gom,York - york c,18.15789,NA,-70.621,43.134,1999
32,Normandeau,Seabrook Station B17,1,0.15,-70.808254,42.892011,2000
66,Normandeau,Seabrook Station B19,2,11.1,-70.808254,42.892011,2000
100,Normandeau,Seabrook Station B31,15,4.31,-70.808254,42.892011,2000
127,Normandeau,Seabrook Station B35,2,2.34,-70.808254,42.892011,2000
142,steneck_gom,Jonesport - little drisco,26.75,NA,-67.663333,44.4833333,2000
148,steneck_gom,Jonesport - outer ram,0,NA,-67.636667,44.4916667,2000
157,steneck_gom,Jonesport - ram,0.677419,NA,-67.635,44.4916667,2000
165,steneck_gom,Jonesport - sea duck,44.79412,NA,-67.65292,44.491517,2000
172,steneck_gom,Mount Desert Island - baker island,0.033333,NA,-68.206667,44.2383333,2000
177,steneck_gom,Mount Desert Island - great duck,15.56667,NA,-68.251667,44.1466667,2000
182,steneck_gom,Mount Desert Island - little duck,1.033333,NA,-68.248333,44.1733333,2000
186,steneck_gom,Mount Desert Island - long island,0.1,NA,-68.343333,44.1033333,2000
189,steneck_gom,Pemaquid - damariscove,3.793103,NA,-69.6022,43.76666,2000
194,steneck_gom,Pemaquid - fisherman's,18.4,NA,-69.60166,43.7933,2000
199,steneck_gom,Pemaquid - kresge,0.09375,NA,-69.5166,43.83361,2000
205,steneck_gom,Pemaquid - thrumcap,0.25,NA,-69.5516,43.8166,2000
213,steneck_gom,York - york a,33.10526,NA,-70.736,43.112,2000
221,steneck_gom,York - york b,4.647059,NA,-70.63,43.118,2000
229,steneck_gom,York - york c,13.41176,NA,-70.621,43.134,2000
236,steneck_gom,York - york d,8.21875,NA,-70.618,43.141,2000
33,Normandeau,Seabrook Station B17,1,0.11,-70.808254,42.892011,2001
67,Normandeau,Seabrook Station B19,0,7.5,-70.808254,42.892011,2001
101,Normandeau,Seabrook Station B31,1,3.57,-70.808254,42.892011,2001
128,Normandeau,Seabrook Station B35,2,0.88,-70.808254,42.892011,2001
143,steneck_gom,Jonesport - little drisco,49.43333,NA,-67.663333,44.4833333,2001
149,steneck_gom,Jonesport - outer ram,0,NA,-67.636667,44.4916667,2001
158,steneck_gom,Jonesport - ram,1.666667,NA,-67.635,44.4916667,2001
166,steneck_gom,Jonesport - sea duck,57.86207,NA,-67.65292,44.491517,2001
173,steneck_gom,Mount Desert Island - baker island,0.1,NA,-68.206667,44.2383333,2001
178,steneck_gom,Mount Desert Island - great duck,0,NA,-68.251667,44.1466667,2001
190,steneck_gom,Pemaquid - damariscove,5.066667,NA,-69.6022,43.76666,2001
195,steneck_gom,Pemaquid - fisherman's,12.5,NA,-69.60166,43.7933,2001
200,steneck_gom,Pemaquid - kresge,0,NA,-69.5166,43.83361,2001
206,steneck_gom,Pemaquid - thrumcap,10.77419,NA,-69.5516,43.8166,2001
214,steneck_gom,York - york a,44.36667,NA,-70.736,43.112,2001
222,steneck_gom,York - york b,3.066667,NA,-70.63,43.118,2001
230,steneck_gom,York - york c,34.2,NA,-70.621,43.134,2001
237,steneck_gom,York - york d,21.73333,NA,-70.618,43.141,2001
34,Normandeau,Seabrook Station B17,1,0.11,-70.808254,42.892011,2002
68,Normandeau,Seabrook Station B19,0,5.66,-70.808254,42.892011,2002
102,Normandeau,Seabrook Station B31,7,4.54,-70.808254,42.892011,2002
129,Normandeau,Seabrook Station B35,2,1.19,-70.808254,42.892011,2002
144,steneck_gom,Jonesport - little drisco,46.125,NA,-67.663333,44.4833333,2002
150,steneck_gom,Jonesport - outer ram,0,NA,-67.636667,44.4916667,2002
159,steneck_gom,Jonesport - ram,1.9,NA,-67.635,44.4916667,2002
167,steneck_gom,Jonesport - sea duck,30.83333,NA,-67.65292,44.491517,2002
191,steneck_gom,Pemaquid - damariscove,2.433333,NA,-69.6022,43.76666,2002
196,steneck_gom,Pemaquid - fisherman's,19.9,NA,-69.60166,43.7933,2002
201,steneck_gom,Pemaquid - kresge,0,NA,-69.5166,43.83361,2002
207,steneck_gom,Pemaquid - thrumcap,8.633333,NA,-69.5516,43.8166,2002
215,steneck_gom,York - york a,44.36667,NA,-70.736,43.112,2002
223,steneck_gom,York - york b,3.066667,NA,-70.63,43.118,2002
231,steneck_gom,York - york c,34.2,NA,-70.621,43.134,2002
238,steneck_gom,York - york d,21.73333,NA,-70.618,43.141,2002
35,Normandeau,Seabrook Station B17,1,0.11,-70.808254,42.892011,2003
69,Normandeau,Seabrook Station B19,0,6.03,-70.808254,42.892011,2003
103,Normandeau,Seabrook Station B31,5,5.14,-70.808254,42.892011,2003
130,Normandeau,Seabrook Station B35,1,2.38,-70.808254,42.892011,2003
145,steneck_gom,Jonesport - little drisco,32.93103,NA,-67.663333,44.4833333,2003
151,steneck_gom,Jonesport - outer ram,0.071429,NA,-67.636667,44.4916667,2003
160,steneck_gom,Jonesport - ram,5.8,NA,-67.635,44.4916667,2003
168,steneck_gom,Jonesport - sea duck,38.09091,NA,-67.65292,44.491517,2003
202,steneck_gom,Pemaquid - kresge,0,NA,-69.5166,43.83361,2003
208,steneck_gom,Pemaquid - thrumcap,3.782609,NA,-69.5516,43.8166,2003
216,steneck_gom,York - york a,41.95833,NA,-70.736,43.112,2003
224,steneck_gom,York - york b,4.041667,NA,-70.63,43.118,2003
232,steneck_gom,York - york c,37.19048,NA,-70.621,43.134,2003
239,steneck_gom,York - york d,19.76,NA,-70.618,43.141,2003
36,Normandeau,Seabrook Station B17,1,0.43,-70.808254,42.892011,2004
70,Normandeau,Seabrook Station B19,0,10.77,-70.808254,42.892011,2004
104,Normandeau,Seabrook Station B31,10,7.79,-70.808254,42.892011,2004
131,Normandeau,Seabrook Station B35,5,4.82,-70.808254,42.892011,2004
37,Normandeau,Seabrook Station B17,1,1.02,-70.808254,42.892011,2005
71,Normandeau,Seabrook Station B19,0,11.39,-70.808254,42.892011,2005
105,Normandeau,Seabrook Station B31,10,8.18,-70.808254,42.892011,2005
132,Normandeau,Seabrook Station B35,9,6.91,-70.808254,42.892011,2005
38,Normandeau,Seabrook Station B17,1,0.81,-70.808254,42.892011,2006
72,Normandeau,Seabrook Station B19,0,9.4,-70.808254,42.892011,2006
106,Normandeau,Seabrook Station B31,16,6.99,-70.808254,42.892011,2006
133,Normandeau,Seabrook Station B35,11,3.98,-70.808254,42.892011,2006
39,Normandeau,Seabrook Station B17,1,0.15,-70.808254,42.892011,2007
73,Normandeau,Seabrook Station B19,0,7.53,-70.808254,42.892011,2007
107,Normandeau,Seabrook Station B31,13,5.88,-70.808254,42.892011,2007
134,Normandeau,Seabrook Station B35,3,0.95,-70.808254,42.892011,2007
40,Normandeau,Seabrook Station B17,1,0.04,-70.808254,42.892011,2008
74,Normandeau,Seabrook Station B19,0,8.02,-70.808254,42.892011,2008
108,Normandeau,Seabrook Station B31,7,5.88,-70.808254,42.892011,2008
135,Normandeau,Seabrook Station B35,7,1.12,-70.808254,42.892011,2008
41,Normandeau,Seabrook Station B17,1,0.36,-70.808254,42.892011,2009
75,Normandeau,Seabrook Station B19,0,10.15,-70.808254,42.892011,2009
109,Normandeau,Seabrook Station B31,5,6.62,-70.808254,42.892011,2009
136,Normandeau,Seabrook Station B35,18,3.56,-70.808254,42.892011,2009
42,Normandeau,Seabrook Station B17,1,0.25,-70.808254,42.892011,2010
76,Normandeau,Seabrook Station B19,0,8.4,-70.808254,42.892011,2010
110,Normandeau,Seabrook Station B31,2,6.86,-70.808254,42.892011,2010
137,Normandeau,Seabrook Station B35,19,3.07,-70.808254,42.892011,2010
43,Normandeau,Seabrook Station B17,1,0.11,-70.808254,42.892011,2011
77,Normandeau,Seabrook Station B19,0,6.66,-70.808254,42.892011,2011
111,Normandeau,Seabrook Station B31,4,5.88,-70.808254,42.892011,2011
138,Normandeau,Seabrook Station B35,14,2.34,-70.808254,42.892011,2011
16,witman_gom,Star Island,NA,0.965517,-70.616525,42.975744,2014
